Nomen;das Haus;Adlar;ev;A1.1
Nomen;die Wohnung;Adlar;daire;A1.1
Nomen;der Balkon;Adlar;balkon;A1.1
Nomen;die Tür;Adlar;kapı;A1.1
Nomen;das Fenster;Adlar;pencere;A1.1
Nomen;die Klingel;Adlar;zil;A1.1
Nomen;das Auto;Adlar;araba;A1.1
Nomen;das Handy;Adlar;cep telefonu;A1.1
Nomen;die Lampe;Adlar;lamba;A1.1
Nomen;der Mann;Adlar;erkek;A1.1
Nomen;die Frau;Adlar;kadın;A1.1
Nomen;das Kind;Adlar;çocuk;A1.1
Nomen;die Nachbarin;Adlar;komşu (kadın);A1.1
Nomen;der Sohn;Adlar;oğul;A1.1
Nomen;der Sportlehrer;Adlar;spor öğretmeni;A1.1
Nomen;der Vogel;Adlar;kuş;A1.1
Nomen;der Hund;Adlar;köpek;A1.1
Nomen;das Hotel;Adlar;otel;A1.1
Nomen;die Bank;Adlar;banka;A1.1
Nomen;das Rathaus;Adlar;belediye binası;A1.1
Nomen;das Amt;Adlar;resmi daire, görev;A1.1
Nomen;der Name;Adlar;ad (soyad için de kullanılır);A1.1
Nomen;der Vorname;Adlar;ön ad;A1.1
Nomen;der Familienname;Adlar;soyadı;A1.1
Nomen;die Adresse;Adlar;adres;A1.1
Nomen;der Ort;Adlar;yer,  mahal;A1.1
Nomen;der Wohnort;Adlar;ikamet yeri;A1.1
Nomen;die Straße;Adlar;sokak, cadde;A1.1
Nomen;der Platz;Adlar;meydan;A1.1
Nomen;die Allee;Adlar;bulvar, iki yanı ağaçlı yol;A1.1
Nomen;die Zahl;Adlar;sayı;A1.1
Nomen;die Postleitzahl;Adlar;posta kodu;A1.1
Nomen;die Nummer;Adlar;numara;A1.1
Nomen;die Hausnummer;Adlar;kapı numarası;A1.1
Nomen;die Telefonnummer;Adlar;telefon numarası;A1.1
Nomen;die E-Mail-Adresse;Adlar;e-posta adresi;A1.1
Nomen;das Land;Adlar;ülke;A1.1
Verben;sein;Eylemler;olmak, bulunmak;A1.1
Verben;kommen;Eylemler;gelmek;A1.1
Verben;heißen;Eylemler;adı … olmak;A1.1
Verben;wohnen;Eylemler;oturmak, ikamet etmek;A1.1
Verben;buchstabieren;Eylemler;hecelemek (bir sözcüğün haflerini tek tek söylemek);A1.1
Adjektive;neu;Önadlar;yeni;A1.1
Adjektive;nett;Önadlar;hoş;A1.1
Adjektive;unsympathisch;Önadlar;antipatik;A1.1
Adjektive;interessant;Önadlar;ilginç;A1.1
Adjektive;aggressiv;Önadlar;saldırgan;A1.1
Adjektive;fröhlich⭤    traurig;Önadlar;neşeli⭤    üzgün;A1.1
Adjektive;super;Önadlar;süper;A1.1
Adjektive;nah;Önadlar;yakın;A1.1
Fragewörter;Wo?;Soru Sözcükleri;Nerede?;A1.1
Fragewörter;Woher?;Soru Sözcükleri;Nereden?;A1.1
Fragewörter;Wer?;Soru Sözcükleri;Kim?;A1.1
Fragewörter;Wie?;Soru Sözcükleri;Nasıl?;A1.1
Wendungen;Hallo!;Deyişler;Merhaba!;A1.1
Wendungen;Willkommen!;Deyişler;Hoş geldiniz!;A1.1
Wendungen;Guten Tag!;Deyişler;İyi günler!;A1.1
Wendungen;Grüß Gott! (süddt., österr.);Deyişler;Merhaba (Güney Almanya ve Avusturya'da kullanılır);A1.1
Wendungen;Tschüss!;Deyişler;Hoşça kal (samimi);A1.1
Wendungen;Auf Wiedersehen!;Deyişler;Hoşça kalın (genel / resmi);A1.1
Wendungen;Entschuldigung!;Deyişler;Affedersiniz! / Özür dilerim!;A1.1
Wendungen;Wie bitte?;Deyişler;Efendim?;A1.1
Wendungen;Freut mich.;Deyişler;Memnun oldum.;A1.1
Wendungen;Danke.;Deyişler;Teşekkürler.;A1.1
Kleine Wörter;ja⭤    nein;Kısa Sözcükler;evet⭤    hayır;A1.1
Kleine Wörter;und;Kısa Sözcükler;ve;A1.1
Kleine Wörter;da;Kısa Sözcükler;orada, şurada, işte!;A1.1
Kleine Wörter;hier;Kısa Sözcükler;burada;A1.1
Kleine Wörter;bitte;Kısa Sözcükler;buyurun, lütfen;A1.1
Kleine Wörter;sehr;Kısa Sözcükler;çok;A1.1
Nomen;der Montag;Adlar;pazartesi;A1.1
Nomen;der Dienstag;Adlar;salı;A1.1
Nomen;der Mittwoch;Adlar;çarşamba;A1.1
Nomen;der Donnerstag;Adlar;perşembe;A1.1
Nomen;der Freitag;Adlar;cuma;A1.1
Nomen;der Samstag;Adlar;cumartesi;A1.1
Nomen;der Sonntag;Adlar;pazar;A1.1
Nomen;der Morgen;Adlar;sabah;A1.1
Nomen;der Vormittag;Adlar;öğleden önce;A1.1
Nomen;der Mittag;Adlar;öğle;A1.1
Nomen;der Nachmittag;Adlar;öğleden sonra;A1.1
Nomen;der Abend;Adlar;akşam;A1.1
Nomen;die Nacht;Adlar;gece;A1.1
Nomen;das Wochenende;Adlar;hafta sonu;A1.1
Nomen;der Beruf;Adlar;meslek;A1.1
Nomen;der Arzt;Adlar;doktor;A1.1
Nomen;die Ärztin;Adlar;doktor (kadın);A1.1
Nomen;der Psychologe;Adlar;psikolog;A1.1
Nomen;die Psychologin;Adlar;psikolog (kadın);A1.1
Nomen;der Taxifahrer;Adlar;taksi şoförü;A1.1
Nomen;die Taxifahrerin;Adlar;taksi şoförü (kadın);A1.1
Nomen;der Krankenpfleger;Adlar;hasta bakıcı;A1.1
Nomen;die Krankenschwester;Adlar;hemşire;A1.1
Nomen;der DJ !*di:dZeI?;Adlar;diskjokey;A1.1
Nomen;die Hausfrau;Adlar;ev kadını;A1.1
Nomen;der Hausmann;Adlar;ev erkeği;A1.1
Nomen;der Bä. cker;Adlar;fırıncı;A1.1
Nomen;die Bä. ckerin;Adlar;fırıncı (kadın);A1.1
Nomen;der Ingenieur;Adlar;mühendis;A1.1
Nomen;die Ingenieurin;Adlar;mühendis (kadın);A1.1
Nomen;der Lehrer;Adlar;öğretmen;A1.1
Nomen;die Lehrerin;Adlar;öğretmen (kadın);A1.1
Nomen;der Kellner;Adlar;garson;A1.1
Nomen;die Kellnerin;Adlar;garson (kadın);A1.1
Nomen;der Polizist;Adlar;polis;A1.1
Nomen;die Polizistin;Adlar;polis (kadın);A1.1
Nomen;der Koch;Adlar;aşçı;A1.1
Nomen;die Köchin;Adlar;aşçı (kadın);A1.1
Nomen;die Sekretärin;Adlar;kadın sekreter;A1.1
Nomen;die Hebamme;Adlar;ebe;A1.1
Nomen;der Bauarbeiter;Adlar;inşaat işçisi;A1.1
Nomen;die Bauarbeiterin;Adlar;inşaat işçisi (kadın);A1.1
Nomen;der Raumpfleger;Adlar;temizlik işçisi;A1.1
Nomen;die Raumpflegerin;Adlar;temizlik işçisi (kadın);A1.1
Nomen;der Student;Adlar;üniversite öğrencisi;A1.1
Nomen;die Studentin;Adlar;üniversite öğrencisi (kadın);A1.1
Nomen;der Kollege;Adlar;meslektaş, iş arkadaşı;A1.1
Nomen;die Kollegin;Adlar;meslektaş, iş arkadaşı (kadın);A1.1
Nomen;(der) Herr;Adlar;Bay;A1.1
Nomen;(die) Frau;Adlar;Bayan;A1.1
Nomen;der Eingang;Adlar;giriş;A1.1
Nomen;das WC;Adlar;tuvalet;A1.1
Nomen;die Information;Adlar;danışma;A1.1
Nomen;das Café;Adlar;kafeterya, kahvehane;A1.1
Nomen;der Aufzug;Adlar;asansör;A1.1
Nomen;die Station;Adlar;bölüm (hastanede);A1.1
Nomen;das Krankenhaus;Adlar;hastane;A1.1
Nomen;das Restaurant;Adlar;restoran;A1.1
Nomen;die Schule;Adlar;okul;A1.1
Nomen;der Supermarkt;Adlar;süpermarket;A1.1
Nomen;das Büro;Adlar;ofis;A1.1
Nomen;die Disco;Adlar;diskotek;A1.1
Nomen;die Arbeit;Adlar;iş;A1.1
Verben;arbeiten;Eylemler;çalışmak;A1.1
Verben;haben, hat;Eylemler;sahip olmak;A1.1
Verben;Dienst haben;Eylemler;görevde olmak, nöbetçi olmak;A1.1
Verben;frei haben;Eylemler;izinli olmak;A1.1
Verben;Zeit haben;Eylemler;zamanı olmak;A1.1
Verben;Stress haben;Eylemler;stres altında bulunmak;A1.1
Verben;schlafen, schläft;Eylemler;uyumak;A1.1
Verben;frühstücken;Eylemler;kahvaltı etmek;A1.1
Verben;spielen;Eylemler;oynamak;A1.1
Verben;Saxofon spielen;Eylemler;saksofon çalmak;A1.1
Verben;kochen;Eylemler;pişirmek;A1.1
Verben;putzen;Eylemler;temizlemek;A1.1
Verben;telefonieren;Eylemler;telefon etmek;A1.1
Verben;einkaufen gehen, geht einkaufen;Eylemler;alışverişe gitmek;A1.1
Verben;fernsehen, sieht fern;Eylemler;televizyon izlemek;A1.1
Verben;hören;Eylemler;duymak;A1.1
Verben;Musik hören;Eylemler;müzik dinlemek;A1.1
Verben;machen;Eylemler;yapmak;A1.1
Verben;Yoga machen;Eylemler;yoga yapmak;A1.1
Verben;studieren;Eylemler;üniversite eğitimi almak;A1.1
Adjektive;gut⭤    schlecht;Önadlar;iyi⭤    kötü;A1.1
Adjektive;viel⭤    wenig;Önadlar;çok⭤     az;A1.1
Adjektive;freundlich⭤    unfreundlich;Önadlar;sevimli / cana yakın / güler yüzlü⭤    sevimsiz /soğuk / nezaketsiz;A1.1
Adjektive;interessant⭤    langweilig;Önadlar;ilginç⭤     sıkıcı;A1.1
Adjektive;ruhig⭤    stressig;Önadlar;sakin⭤    stresli;A1.1
Adjektive;fit⭤    müde;Önadlar;zinde⭤    yorgun, halsiz;A1.1
Fragewörter;Was?;Soru Sözcükleri;Ne?;A1.1
Fragewörter;Wann?;Soru Sözcükleri;Ne zaman?;A1.1
Fragewörter;Warum?;Soru Sözcükleri;Neden? Niçin?;A1.1
Wendungen;von früh bis spät;Deyişler;sabahtan akşama kadar;A1.1
Wendungen;rund um die Uhr;Deyişler;yirmi dört saat;A1.1
Wendungen;zu Hause;Deyişler;evde;A1.1
Wendungen;Guten Morgen!;Deyişler;Günaydın!;A1.1
Wendungen;Wie geht’s?;Deyişler;Ne haber?;A1.1
Wendungen;Wie geht es dir / euch / Ihnen?;Deyişler;Nasılsın / Nasılsınız?;A1.1
Wendungen;Mir geht es gut / schlecht.;Deyişler;İyiyim / İyi değilim.;A1.1
Wendungen;Darf ich vorstellen?;Deyişler;Sizi tanıştırabilir miyim?;A1.1
Wendungen;Angenehm.;Deyişler;Memnun oldum.;A1.1
Kleine Wörter;oder;Kısa Sözcükler;veya, ya da;A1.1
Kleine Wörter;vielleicht;Kısa Sözcükler;belki;A1.1
Kleine Wörter;mit;Kısa Sözcükler;ile, beraber;A1.1
Kleine Wörter;immer;Kısa Sözcükler;daima;A1.1
Kleine Wörter;oft;Kısa Sözcükler;sık sık;A1.1
Kleine Wörter;manchmal;Kısa Sözcükler;bazen;A1.1
Kleine Wörter;nie;Kısa Sözcükler;hiç, asla;A1.1
Nomen;die Familie, -n;Adlar;aile;A1.1
Nomen;der Mann, –¨ er;Adlar;erkek, koca (eş);A1.1
Nomen;die Frau, -en;Adlar;kadın, karı (eş);A1.1
Nomen;die Eltern (nur Pl.);Adlar;anne ve baba, ebeveyn;A1.1
